Rank,Previous Rank,Video Title,Artist Names,Periods on Chart,Views,Growth,YouTube URL,date
56,n/a,Dil Laga Liya - Full Video | Dil Hai Tumhaara | Preity & Arjun Rampal | Alka Yagnik & Udit Narayan,Mohammed Salamat & Madhushree,22,7039279,n/a,https://www.youtube.com/watch?v=6qBdQzPnw4E,2020-06-11
57,60,Bum Bum Bole,Shaan & Aamir Khan,7,7010770,0.02%,https://www.youtube.com/watch?v=NJ1NIIdHhXs,2020-06-11
58,n/a,Happier,Marshmello,22,6915708,n/a,https://www.youtube.com/watch?v=m7Bc3pLyij0,2020-06-11
59,59,Safaera,Bad Bunny & Jowell & Randy & Ñengo Flow,15,6900363,-0.01%,https://www.youtube.com/watch?v=jCQ_6XbATPc,2020-06-11
60,49,Por Primera Vez (Official Video),Evaluna Montaner & Camilo,14,6842640,-0.09%,https://www.youtube.com/watch?v=YwodhCjFbQ8,2020-06-11
61,46,Shaitan Ka Saala,Vishal Dadlani & Sohail Sen,12,6783696,-0.13%,https://www.youtube.com/watch?v=e0j_YW5QnoQ,2020-06-11
62,64,A gente fez amor,Gusttavo Lima,12,6745020,0.02%,https://www.youtube.com/watch?v=SvQx5FMEVmE,2020-06-11
63,51,Say So (Official Video),Doja Cat,15,6691036,-0.09%,https://www.youtube.com/watch?v=pok8H_KF1FA,2020-06-11
64,58,goosebumps,Travis Scott,7,6686684,-0.04%,https://www.youtube.com/watch?v=Dst9gZkq1a8,2020-06-11
65,52,Hypnodancer,Little Big,5,6650131,-0.09%,https://www.youtube.com/watch?v=RhMYBfF7-hE,2020-06-11
66,68,Boss Bitch,Doja Cat,12,6572877,0%,https://www.youtube.com/watch?v=RsW66teC0BQ,2020-06-11
67,n/a,Karabuu,Chandan Shetty,1,6556058,n/a,https://www.youtube.com/watch?v=Ysf4QRrcLGM,2020-06-11
68,n/a,Machayenge,Emiway Bantai,14,6418165,n/a,https://www.youtube.com/watch?v=zaCbuB3w0kg,2020-06-11
69,69,"Muqabla (From ""Street Dancer 3D"")",Parampara Thakur & A.R. Rahman & Yash Narvekar & Tanishk Bagchi,18,6400295,-0.01%,https://www.youtube.com/watch?v=l75z7FrYRXI,2020-06-11
70,62,Supalonely,BENEE,7,6394295,-0.05%,https://www.youtube.com/watch?v=Rb6Scz-5YOs,2020-06-11
71,88,"Cham Cham (From ""Baaghi"")",Meet Bros.,3,6306523,0.11%,https://www.youtube.com/watch?v=f6vY6tYvKGA,2020-06-11
72,75,Dismiss 141,Korala Maan,3,6282981,0%,https://www.youtube.com/watch?v=OKvDBWupjJc,2020-06-11
73,70,"Maiya Yashoda (From ""Hum Saath-Saath Hain"")",Anu Malik & Kavita Krishnamurthy & Anuradha Paudwal & Dev Kohli,5,6258075,-0.03%,https://www.youtube.com/watch?v=rPvh3WsRt2Q,2020-06-11
74,n/a,Señorita,Shawn Mendes & Camila Cabello,36,6235125,n/a,https://www.youtube.com/watch?v=Pkh8UtuejGw,2020-06-11
75,78,Blueberry Faygo,Lil Mosey,11,6221202,0.03%,https://www.youtube.com/watch?v=V_jHc_n0p9c,2020-06-11
76,71,Godzilla,Eminem,14,6173494,-0.04%,https://www.youtube.com/watch?v=r_0JjYUe5jo,2020-06-11
77,66,Saudade Sua,Gusttavo Lima,4,6170914,-0.06%,https://www.youtube.com/watch?v=HrpBSGaM_tc,2020-06-11
78,87,S de saudade,Luiza e Maurílio & Zé Neto & Cristiano,13,6130930,0.08%,https://www.youtube.com/watch?v=sjH-s6lozFk,2020-06-11
79,77,The Box,Roddy Ricch,15,6118655,0%,https://www.youtube.com/watch?v=UNZqm3dxd2w,2020-06-11
80,73,Roses (Imanbek Remix),SAINt JHN,11,6096519,-0.04%,https://www.youtube.com/watch?v=ele2DMU49Jk,2020-06-11
81,90,Party Girl,StaySolidRocky,2,6086017,0.11%,https://www.youtube.com/watch?v=1KlNDZpCkHc,2020-06-11
82,85,Graveto,Marília Mendonça,19,6065324,0.06%,https://www.youtube.com/watch?v=CKtHg1jBREY,2020-06-11
83,n/a,Humnava Mere,Rocky-Shiv & Jubin Nautiyal,2,6027974,n/a,https://www.youtube.com/watch?v=TmRgK-pXH9c,2020-06-11
84,n/a,Vudu,Teodora Džehverović & Devito,1,5969142,n/a,https://www.youtube.com/watch?v=DjP8GKQnL88,2020-06-11
85,n/a,A Thousand Years,Christina Perri,23,5887348,n/a,https://www.youtube.com/watch?v=rtOvBOTyX00,2020-06-11
86,67,#AlaVaikunthapurramuloo - Ramuloo Ramulaa Telugu Video Song || Allu Arjun || Trivikram | Thaman S,Hanuman Nayana,15,5759396,-0.13%,https://www.youtube.com/watch?v=Bg8Yb9zGYyA,2020-06-11
87,n/a,Eso Que Tú Me Das,Jarabe de Palo,1,5651641,n/a,https://www.youtube.com/watch?v=hE6CsyWv8Zs,2020-06-11
88,n/a,Black Swan,BTS,7,5650090,n/a,https://www.youtube.com/watch?v=0lapF4DQPKQ,2020-06-11
89,n/a,NA,NA,2,5620728,n/a,n/a,2020-06-11
90,n/a,Antra Singh Bhojpuri Song,Arvind Akela Kallu,1,5599854,n/a,https://www.youtube.com/watch?v=5daKZYVVAT4,2020-06-11
91,n/a,[2020 FESTA] BTS (방탄소년단) 'We are Bulletproof : the Eternal' MV #2020BTSFESTA,BTS,1,5596092,n/a,https://www.youtube.com/watch?v=7UWBYJjuIL0,2020-06-11
92,83,Physical,Dua Lipa,18,5561257,-0.04%,https://www.youtube.com/watch?v=9HDEHj2yzew,2020-06-11
93,n/a,Em Không Sai Chúng Ta Sai,ERIK,3,5556538,n/a,https://www.youtube.com/watch?v=iwGuiSnr2Qc,2020-06-11
94,98,The Lazy Song,Bruno Mars,15,5551941,0.07%,https://www.youtube.com/watch?v=fLexgOxsZu0,2020-06-11
95,n/a,Henrique e Juliano - VOLTA POR BAIXO - DVD Ao Vivo No Ibirapuera,Henrique & Juliano,5,5517782,n/a,https://www.youtube.com/watch?v=9Ef-Nmqf7C0,2020-06-11
96,n/a,Kaun Hain Voh - Full Video | Baahubali - The  Beginning | Kailash K | Prabhas | MM Kreem  Manoj M,M. M. Keeravani,1,5496876,n/a,https://www.youtube.com/watch?v=WibcvWT7KQQ,2020-06-11
97,81,StaySolidRocky - Party Girl (Lyrics),Mr Shades,5,5458192,-0.07%,https://www.youtube.com/watch?v=cNDIY2t7Q2Y,2020-06-11
98,n/a,12 साल के लड़का और लड़की का #समर_सिंह के गाने पे धमाकेदार #डांस | ककरी भईल बा कमरिया लपक के,Samar Singh,1,5417517,n/a,https://www.youtube.com/watch?v=alCl_FO2lf8,2020-06-11
99,n/a,Fi Hwak,Didine Canon 16,1,5404595,n/a,https://www.youtube.com/watch?v=IJBBo59r2uw,2020-06-11
100,n/a,超越时空 (TURN BACK TIME),WayV,1,5387365,n/a,https://www.youtube.com/watch?v=eUCVRF6hjSQ,2020-06-11
